 dmw idm ivc net ml theory
"A. Agung Julius" 0 0 0 1 0 0
"A. Aydin Alatan" 0 0 2 0 0 0
"A. B. M. Moniruzzaman" 1 0 0 0 0 0
"A. B. Siddique" 1 0 0 0 0 0
"A. Berger" 0 0 1 0 0 0
"A. Bruce McDonald" 0 0 0 1 0 0
"A. C. Murillo" 0 0 1 0 0 0
"A. Cengiz ztireli" 0 0 1 0 0 0
"A. Claude Boccara" 0 0 1 0 0 0
"A. Cristiano I. Malossi" 0 0 0 0 1 0
"A. David Edwards" 0 0 0 0 1 0
"A. David Marshall" 0 0 4 0 1 0
"A. Dring" 0 0 0 0 1 0
"A. Emin Orhan" 0 0 0 0 2 0
"A. Enis etin" 0 0 2 0 0 0
"A. Feder Cooper" 0 0 0 0 1 0
"A. G. Amitha Perera" 0 0 7 0 0 0
"A. Garca" 0 0 0 1 0 0
"A. Harbach" 0 0 1 0 0 0
"A. Hartfiel" 0 0 1 0 0 0
"A. Iglesias" 0 0 1 0 0 0
"A. Ingold" 0 0 1 0 0 0
"A. J. Bernheim Brush" 0 0 0 1 0 0
"A. J. Doupe" 0 0 0 0 1 0
"A. J. Feelders" 2 0 0 0 0 0
"A. J. Piergiovanni" 0 0 6 0 2 0
"A. Jain" 0 0 1 0 0 0
"A. K. M. Mahtab Hossain" 0 0 0 1 0 0
"A. K. M. Tauhidul Islam" 2 0 0 0 0 0
"A. Kai Qin" 0 0 1 0 0 0
"A. Karim Abu-Affash" 0 0 0 1 0 0
"A. Keith Dunker" 1 0 0 0 0 0
"A. Khivesera" 0 2 0 0 0 0
"A. Khojestepour" 0 0 0 1 0 0
"A. Kumaran 0001" 0 2 0 0 0 0
"A. L. Narasimha Reddy" 0 0 0 4 0 0
"A. Luu" 0 0 0 1 0 0
"A. Lynn Abbott" 0 0 4 0 0 0
"A. M. Buchanan" 0 0 1 0 0 0
"A. Max Reppen" 0 0 0 0 1 0
"A. Medina" 0 0 0 1 0 0
"A. Miller" 0 0 1 0 0 0
"A. Murat Tekalp" 0 0 4 0 0 0
"A. N. Rajagopalan" 0 0 19 0 0 0
"A. Nur Zincir-Heywood" 2 0 0 0 0 0
"A. P. Sarath Chandar" 0 0 0 0 1 0
"A. P. Yogananda" 0 0 0 0 1 0
"A. Patrice Seyed" 1 0 0 0 0 0
"A. Pavan 0001" 0 1 0 0 0 0
"A. Pinar Ozisik" 0 0 0 1 0 0
"A. Prasad Sistla" 0 1 0 0 0 0
"A. Rashid" 0 0 1 0 0 0
"A. Robert Calderbank" 0 0 1 6 6 1
"A. S. Krishnakumar" 0 0 0 3 0 0
"A. S. M. Iftekhar" 0 0 1 0 0 0
"A. S. Mandal" 0 0 1 0 0 0
"A. Sankaranarayanan" 0 0 1 0 0 0
"A. Scerri" 1 0 0 0 0 0
"A. Selcuk Uluagac" 0 0 0 3 0 0
"A. Seza Dogruz" 1 0 0 0 0 0
"A. Shaikhouni" 0 0 0 0 1 0
"A. Singer" 0 1 0 0 0 0
"A. Stephen Morse" 0 0 0 3 0 0
"A. Sugimoto" 0 0 1 0 0 0
"A. Taylan Cemgil" 0 0 1 0 3 0
"A. Urpi" 0 0 0 1 0 0
"A. V. Sreejith" 0 0 0 0 0 1
"A. Yoshioka" 0 0 1 0 0 0
"Aabhaas Gupta" 1 0 0 0 0 0
"Aadharsh Kannan" 1 0 0 0 0 0
"Aadirupa Saha" 0 0 0 0 4 0
"Aaditeshwar Seth" 1 0 0 1 0 0
"Aaditya Prakash" 1 0 2 0 0 0
"Aaditya Ramdas" 1 0 0 0 14 0
"Aahlad Manas Puli" 0 0 0 0 4 0
"Aakanksha Chowdhery" 0 1 0 4 0 0
"Aakansha Mishra" 0 0 1 0 0 0
"Aakarsh Malhotra" 0 0 2 0 0 0
"Aakas Zhiyuli" 0 0 0 1 0 0
"Aakash Goel" 0 1 0 0 0 0
"Aakash Sabharwal" 1 0 0 0 0 0
"Aakash Srinivasan" 1 0 0 0 0 0
"Aalt D. J. van Dijk" 1 0 0 0 0 0
"Aamir Anis" 1 0 0 0 0 0
"Aamir Manaswala" 1 0 0 0 0 0
"Aamir Mansawala" 1 0 0 0 0 0
"Aanchal Bindal" 0 1 0 0 0 0
"Aanchal Malhotra" 0 0 0 1 0 0
"Aanjhan Ranganathan" 0 0 0 3 0 0
"Aapo Hyvrinen" 3 0 0 0 12 0
"Aapo Kyrola" 0 0 0 0 1 0
"Aaqib Saeed" 1 0 0 0 0 0
"Aaram Yun" 0 0 0 1 0 0
"Aaron Archer" 1 0 0 0 0 7
